Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Normal_Global_Sale,Platform_General,Year_Label,Scaled_Normal_Global_Sale,Normal_Global_Sale_Class
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,M,2.3327808797084533,Microsoft_Xbox,3,0.8659240272950834,High
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,M,2.6664841935023533,Sony_Playstation,0,0.9899036723839434,High
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,M,2.143461091015776,Microsoft_Xbox,2,0.795586696977433,High
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,M,2.044209262592507,Microsoft_Xbox,2,0.7587120063355018,High
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,M,2.6936594445704793,Sony_Playstation,2,0.9999999999999999,High
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,M,1.952662515970216,Microsoft_Xbox,2,0.7246999582493348,High
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,M,1.9389432976151468,Microsoft_Xbox,2,0.7196029042128604,High
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,M,2.350669045323926,Sony_Playstation,2,0.8725699559767109,High
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,M,2.0845225258828735,Sony_Playstation,0,0.7736894544713638,High
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,M,2.249765903736783,Sony_Playstation,2,0.8350817586312952,High
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,M,2.340876344088613,Sony_Playstation,3,0.8689317073485742,High
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,M,1.76898474484399,Microsoft_Xbox,1,0.6564587873240533,High
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,M,1.6308627821732207,Microsoft_Xbox,1,0.6051428093188874,High
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,M,1.897644171231006,Sony_Playstation,2,0.7042591817506133,High
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,M,1.9263656209884692,Sony_Playstation,1,0.7149299632507548,High
